#TYPE System.Management.Automation.PSCustomObject
"Asset ID","Workflow Status","Modified"
"AS1","Pending Librarian Assignment","5/11/2017 9:09:03 PM"
"AS3","Generating Submission ID","5/11/2017 9:09:33 PM"
"AS4","Generating Submission ID","5/11/2017 9:09:45 PM"
"AS11","Pending Librarian Assignment","5/11/2017 9:11:50 PM"
"AS12","Pending Librarian Assignment","5/11/2017 9:12:00 PM"
"AS13","Pending Librarian Assignment","5/11/2017 9:12:16 PM"
"AS18","Pending Librarian Assignment","5/11/2017 9:13:58 PM"
"AS21","Pending Librarian Assignment","5/11/2017 9:14:19 PM"
"AS23","Pending Librarian Assignment","5/11/2017 9:14:38 PM"
"AS27","Pending Librarian Assignment","5/11/2017 9:15:39 PM"
"AS30","Extracting URL Objects","5/11/2017 9:16:06 PM"
"AS31","Pending Librarian Assignment","5/11/2017 9:16:22 PM"
"AS45","Pending Librarian Assignment","5/11/2017 9:18:57 PM"
"AS47","Librarian Assigned to Form","5/11/2017 9:19:19 PM"
"AS55","Librarian Assigned to Form","5/11/2017 9:20:25 PM"
"AS58","Librarian Assigned to Form","5/11/2017 9:20:53 PM"
"AS65","Pending Librarian Assignment","5/11/2017 9:22:05 PM"
"AS66","Pending Librarian Assignment","5/11/2017 9:22:27 PM"
"AS92","Pending Librarian Assignment","5/11/2017 9:26:39 PM"
"AS96","Pending Librarian Assignment","5/11/2017 9:27:18 PM"
"AS103","Pending Librarian Assignment","5/11/2017 9:28:41 PM"
"AS104","Uploading Assets","5/11/2017 9:28:50 PM"
"AS117","Librarian Assigned to Form","5/11/2017 9:30:48 PM"
"AS120","Generating Submission ID","5/11/2017 9:31:12 PM"
"AS121","Generating Submission ID","5/11/2017 9:31:19 PM"
"AS122","Registering Reuses","5/11/2017 9:31:23 PM"
"AS128","Pending Librarian Assignment","5/11/2017 9:32:07 PM"
"AS131","Registering Reuses","5/11/2017 9:32:28 PM"
"AS146","Pending Librarian Assignment","5/11/2017 9:34:31 PM"
"AS151","Uploading Assets","5/11/2017 9:35:13 PM"
"AS158","Pending Librarian Assignment","5/11/2017 9:35:57 PM"
"AS159","Uploading Assets","5/11/2017 9:36:03 PM"
"AS160","Librarian Assigned to Form","5/11/2017 9:36:13 PM"
"AS177","Uploading Assets","5/11/2017 9:38:59 PM"
"AS188","Librarian Assigned to Form","5/11/2017 9:41:22 PM"
"AS191","Pending Librarian Assignment","5/11/2017 9:42:40 PM"
"AS210","Pending Librarian Assignment","5/11/2017 9:44:30 PM"
"AS215","Librarian Assigned to Form","5/11/2017 9:44:57 PM"
"AS216","Librarian Assigned to Form","5/11/2017 9:45:03 PM"
"AS217","Librarian Assigned to Form","5/11/2017 9:45:07 PM"
"AS233","Uploading Assets","5/11/2017 9:46:52 PM"
"AS234","Uploading Assets","5/11/2017 9:46:59 PM"
"AS237","Librarian Assigned to Form","5/11/2017 9:47:09 PM"
"AS238","Librarian Assigned to Form","5/11/2017 9:47:17 PM"
"AS253","Librarian Assigned to Form","5/11/2017 9:48:50 PM"
"AS260","Pending Librarian Assignment","5/11/2017 9:52:33 PM"
"AS262","Pending Librarian Assignment","5/11/2017 9:49:53 PM"
"AS263","Pending Librarian Assignment","5/11/2017 9:49:59 PM"
"AS264","Pending Librarian Assignment","5/11/2017 9:50:05 PM"
"AS265","Pending Librarian Assignment","5/11/2017 9:50:09 PM"
"AS266","Pending Librarian Assignment","5/11/2017 9:50:15 PM"
"AS283","Librarian Assigned to Form","5/11/2017 9:52:21 PM"
"AS290","Pending Librarian Assignment","5/11/2017 9:53:09 PM"
"AS316","Pending Librarian Assignment","5/11/2017 9:56:49 PM"
"AS366","Pending Librarian Assignment","5/11/2017 10:01:42 PM"
"AS373","Pending Librarian Assignment","5/11/2017 10:02:34 PM"
"AS376","Registering Reuses","5/11/2017 10:02:46 PM"
"AS384","Librarian Assigned to Form","5/11/2017 10:03:59 PM"
"AS395","Extracting URL Objects","5/11/2017 10:04:58 PM"
"AS405","Pending Librarian Assignment","5/11/2017 10:06:06 PM"
"AS414","Pending Librarian Assignment","5/11/2017 10:07:01 PM"
"AS415","Pending Librarian Assignment","5/11/2017 10:07:12 PM"
"AS417","Pending Librarian Assignment","5/11/2017 10:07:23 PM"
"AS425","Pending Librarian Assignment","5/11/2017 10:09:49 PM"
"AS426","Pending Librarian Assignment","5/11/2017 10:09:58 PM"
"AS428","Librarian Assigned to Form","5/11/2017 10:10:44 PM"
"AS431","Pending Librarian Assignment","5/11/2017 10:11:28 PM"
"AS432","Librarian Assigned to Form","5/11/2017 10:12:48 PM"
"AS433","Librarian Assigned to Form","5/11/2017 10:12:17 PM"
"AS442","Librarian Assigned to Form","5/11/2017 10:14:21 PM"
"AS449","Pending Librarian Assignment","5/11/2017 10:16:21 PM"
"AS450","Librarian Assigned to Form","5/11/2017 10:16:41 PM"
"AS451","Pending Librarian Assignment","5/11/2017 10:16:53 PM"
"AS452","Pending Librarian Assignment","5/11/2017 10:17:08 PM"
"AS453","Pending Librarian Assignment","5/11/2017 10:17:19 PM"
"AS455","Pending Librarian Assignment","5/11/2017 10:17:54 PM"
"AS456","Pending Librarian Assignment","5/11/2017 10:18:12 PM"
"AS458","Pending Librarian Assignment","5/11/2017 10:20:15 PM"
"AS460","Registering Reuses","5/11/2017 10:19:01 PM"
"AS462","Pending Librarian Assignment","5/11/2017 10:21:14 PM"
"AS463","Pending Librarian Assignment","5/11/2017 10:21:16 PM"
"AS466","Librarian Assigned to Form","5/11/2017 10:22:01 PM"
"AS480","Uploading Assets","5/11/2017 10:25:11 PM"
"AS488","Librarian Assigned to Form","5/11/2017 10:28:26 PM"
"AS490","Pending Librarian Assignment","5/11/2017 10:28:07 PM"
"AS491","Pending Librarian Assignment","5/11/2017 10:28:17 PM"
"AS492","Pending Librarian Assignment","5/11/2017 10:28:31 PM"
"AS493","Pending Librarian Assignment","5/11/2017 10:28:43 PM"
"AS499","Librarian Assigned to Form","5/11/2017 10:30:10 PM"
"AS501","Uploading Assets","5/11/2017 10:32:09 PM"
"AS515","Librarian Assigned to Form","5/11/2017 10:33:10 PM"
"AS517","Pending Librarian Assignment","5/11/2017 10:33:37 PM"
"AS521","Librarian Assigned to Form","5/11/2017 10:34:18 PM"
"AS522","Librarian Assigned to Form","5/11/2017 10:34:32 PM"
"AS524","Librarian Assigned to Form","5/11/2017 10:35:19 PM"
"AS530","Librarian Assigned to Form","5/11/2017 10:36:57 PM"
"AS538","Extracting URL Objects","5/11/2017 10:38:36 PM"
"AS554","Extracting URL Objects","5/11/2017 10:43:17 PM"
"AS565","Generating Submission ID","5/11/2017 10:46:39 PM"
"AS572","Librarian Assigned to Form","5/11/2017 10:48:55 PM"
"AS573","Pending Librarian Assignment","5/11/2017 10:48:00 PM"
"AS581","Pending Librarian Assignment","5/11/2017 10:50:10 PM"
"AS586","Pending Librarian Assignment","5/11/2017 10:51:39 PM"
"AS588","Registering Reuses","5/11/2017 10:52:02 PM"
"AS589","Registering Reuses","5/11/2017 10:52:18 PM"
"AS590","Registering Reuses","5/11/2017 10:52:32 PM"
"AS591","Registering Reuses","5/11/2017 10:52:44 PM"
"AS592","Registering Reuses","5/11/2017 10:52:55 PM"
"AS593","Registering Reuses","5/11/2017 10:53:11 PM"
"AS594","Registering Reuses","5/11/2017 10:53:19 PM"
"AS595","Registering Reuses","5/11/2017 10:53:28 PM"
"AS596","Registering Reuses","5/11/2017 10:53:39 PM"
"AS597","Registering Reuses","5/11/2017 10:53:50 PM"
"AS598","Registering Reuses","5/11/2017 10:53:57 PM"
"AS599","Registering Reuses","5/11/2017 10:54:08 PM"
"AS602","Registering Reuses","5/11/2017 10:55:04 PM"
"AS603","Registering Reuses","5/11/2017 10:55:12 PM"
"AS604","Registering Reuses","5/11/2017 10:55:28 PM"
"AS605","Registering Reuses","5/11/2017 10:55:47 PM"
"AS606","Registering Reuses","5/11/2017 10:55:56 PM"
"AS607","Registering Reuses","5/11/2017 10:56:05 PM"
"AS608","Registering Reuses","5/11/2017 10:56:14 PM"
"AS609","Registering Reuses","5/11/2017 10:56:23 PM"
"AS610","Registering Reuses","5/11/2017 10:56:34 PM"
"AS611","Registering Reuses","5/11/2017 10:56:46 PM"
"AS612","Registering Reuses","5/11/2017 10:57:00 PM"
"AS613","Registering Reuses","5/11/2017 10:57:25 PM"
"AS614","Generating Asset and Bundle IDs","5/11/2017 10:57:40 PM"
"AS615","Registering Reuses","5/11/2017 10:57:47 PM"
"AS616","Registering Reuses","5/11/2017 10:58:01 PM"
"AS617","Registering Reuses","5/11/2017 10:58:08 PM"
"AS618","Registering Reuses","5/11/2017 10:58:18 PM"
"AS620","Registering Reuses","5/11/2017 10:58:41 PM"
"AS626","Registering Reuses","5/11/2017 10:59:55 PM"
"AS627","Registering Reuses","5/11/2017 11:00:04 PM"
"AS628","Registering Reuses","5/11/2017 11:00:11 PM"
"AS629","Generating Asset and Bundle IDs","5/11/2017 11:00:18 PM"
"AS630","Registering Reuses","5/11/2017 11:00:28 PM"
"AS631","Registering Reuses","5/11/2017 11:00:56 PM"
"AS632","Registering Reuses","5/11/2017 11:01:09 PM"
"AS633","Registering Reuses","5/11/2017 11:01:22 PM"
"AS634","Registering Reuses","5/11/2017 11:01:37 PM"
"AS635","Registering Reuses","5/11/2017 11:01:48 PM"
"AS636","Librarian Assigned to Form","5/11/2017 11:02:34 PM"
"AS637","Registering Reuses","5/11/2017 11:02:40 PM"
"AS638","Registering Reuses","5/11/2017 11:02:47 PM"
"AS640","Registering Reuses","5/11/2017 11:03:11 PM"
,"Registering Reuses","5/11/2017 11:03:50 PM"
"AS643","Registering Reuses","5/11/2017 11:03:58 PM"
"AS644","Registering Reuses","5/11/2017 11:04:08 PM"
"AS645","Registering Reuses","5/11/2017 11:04:16 PM"
"AS647","Registering Reuses","5/11/2017 11:04:41 PM"
"AS648","Registering Reuses","5/11/2017 11:04:46 PM"
"AS649","Registering Reuses","5/11/2017 11:04:55 PM"
"AS650","Registering Reuses","5/11/2017 11:05:04 PM"
"AS651","Registering Reuses","5/11/2017 11:05:14 PM"
"AS653","Registering Reuses","5/11/2017 11:05:42 PM"
"AS654","Registering Reuses","5/11/2017 11:05:52 PM"
"AS655","Registering Reuses","5/11/2017 11:05:56 PM"
"AS656","Registering Reuses","5/11/2017 11:06:01 PM"
"AS657","Registering Reuses","5/11/2017 11:06:10 PM"
"AS658","Registering Reuses","5/11/2017 11:06:13 PM"
"AS659","Registering Reuses","5/11/2017 11:06:19 PM"
"AS660","Registering Reuses","5/11/2017 11:06:24 PM"
"AS661","Registering Reuses","5/11/2017 11:06:34 PM"
"AS662","Registering Reuses","5/11/2017 11:06:40 PM"
"AS663","Registering Reuses","5/11/2017 11:06:46 PM"
"AS664","Registering Reuses","5/11/2017 11:06:55 PM"
"AS665","Registering Reuses","5/11/2017 11:07:06 PM"
"AS666","Registering Reuses","5/11/2017 11:07:20 PM"
"AS667","Registering Reuses","5/11/2017 11:07:31 PM"
"AS668","Registering Reuses","5/11/2017 11:07:58 PM"
"AS669","Registering Reuses","5/11/2017 11:08:03 PM"
"AS670","Registering Reuses","5/11/2017 11:08:10 PM"
"AS671","Registering Reuses","5/11/2017 11:08:17 PM"
"AS672","Registering Reuses","5/11/2017 11:08:26 PM"
"AS673","Registering Reuses","5/11/2017 11:08:36 PM"
"AS674","Registering Reuses","5/11/2017 11:08:40 PM"
"AS675","Registering Reuses","5/11/2017 11:08:51 PM"
"AS676","Registering Reuses","5/11/2017 11:08:58 PM"
"AS677","Registering Reuses","5/11/2017 11:09:06 PM"
"AS678","Registering Reuses","5/11/2017 11:09:12 PM"
"AS679","Registering Reuses","5/11/2017 11:09:22 PM"
"AS680","Registering Reuses","5/11/2017 11:09:27 PM"
"AS681","Registering Reuses","5/11/2017 11:09:37 PM"
"AS682","Registering Reuses","5/11/2017 11:09:51 PM"
